user,session,keyname,timepress,timerelease
0,0,shift,0,374
0,0,t,296,374
0,0,h,561,640
0,0,e,640,749
0,0,space,874,1061
0,0,i,1217,1310
0,0,t,2340,2434
0,0,s,4150,4259
0,0,y,4243,4306
0,0,space,4430,4633
0,0,b,5242,5351
0,0,i,5304,5398
0,0,t,5678,5756
0,0,s,6349,6474
0,0,y,6427,6505
0,0,space,6911,7020
0,0,s,7597,7722
0,0,p,7675,7784
0,0,i,8112,8252
0,0,d,8471,8564
0,0,e,8783,8892
0,0,r,8876,8923
0,0,space,9469,9641
0,0,c,9968,10078
0,0,l,10031,10109
0,0,i,10234,10343
0,0,m,10561,10624
0,0,b,10982,11076
0,0,e,11201,11279
0,0,d,11669,11716
0,0,space,12792,12964
0,0,u,13307,13369
0,0,p,13712,13790
0,0,space,13915,14040
0,0,t,14430,14524
0,0,h,14477,14570
0,0,e,14602,14711
0,0,space,14789,14882
0,0,w,15631,15756
0,0,a,15990,16193
0,0,t,16333,16442
0,0,e,16520,16645
0,0,r,16614,16723
0,0,s,17987,18112
0,0,p,18080,18174
0,0,o,18548,18673
0,0,u,19438,19562
0,0,t,19516,19609
0,0,period,21824,21902
0,0,enter,22682,22729
0,0,shift,23790,24539
0,0,d,24430,24523
0,0,o,24835,24929
0,0,w,25428,25522
0,0,n,25522,25568
0,0,space,25724,25912
0,0,c,26005,26114
0,0,a,26348,26458
0,0,m,26442,26489
0,0,space,26832,27019
0,0,t,27331,27394
0,0,h,27378,27456
0,0,e,27518,27643
0,0,space,27737,27799
0,0,r,28283,28376
0,0,a,28860,28985
0,0,i,28922,28985
0,0,n,29359,29453
0,0,enter,36957,37019
0,0,a,37690,37799
0,0,n,37752,37830
0,0,d,37893,38002
0,0,space,38033,38095
0,0,space,38142,38173
0,0,w,38392,38485
0,0,a,38610,38719
0,0,s,39031,39156
0,0,h,39109,39203
0,0,e,39297,39390
0,0,d,39499,39577
0,0,space,40763,40919
0,0,t,40997,41075
0,0,h,41075,41153
0,0,e,41153,41262
0,0,space,41325,41512
0,0,s,42073,42183
0,0,p,42151,42183
0,0,i,42401,42510
0,0,d,43072,43150
0,0,e,43321,43446
0,0,r,43446,43509
0,0,o,43961,44101
0,0,u,44133,44257
0,0,t,44476,44554
0,0,period,49733,49795
0,0,enter,51855,51948
0,0,shift,52494,52759
0,0,o,52681,52759
0,0,u,53212,53321
0,0,t,53290,53383
0,1,shift,0,327
0,1,m,218,312
0,1,a,1060,1201
0,1,r,1716,1840
0,1,y,1809,1887
0,1,space,2012,2168
0,1,h,2340,2418
0,1,a,2371,2542
0,1,s,2730,2839
0,1,space,2948,3088
0,1,a,3151,3291
0,1,space,3338,3432
0,1,l,3837,3962
0,1,i,4056,4165
0,1,t,4461,4508
0,1,t,4570,4648
0,1,l,4820,4929
0,1,e,4945,5054
0,1,space,5101,5179
0,1,l,5694,5818
0,1,a,6942,7098
0,1,m,7020,7098
0,1,b,7581,7675
0,1,comma,8970,9048
0,1,shift,13260,13447
0,1,m,13369,13447
0,1,a,13775,13899
0,1,r,14055,14149
0,1,y,14149,14227
0,1,space,14367,14555
0,1,h,14757,14851
0,1,a,14820,14960
0,1,s,15069,15116
0,1,d,15693,15818
0,1,backspace,16380,16458
0,1,backspace,16520,16645
0,1,d,16832,16941
0,1,space,17019,17097
0,1,a,17581,17690
0,1,space,17753,17815
0,1,l,18049,18158
0,1,i,18236,18361
0,1,t,18579,18642
0,1,t,18720,18798
0,1,l,18938,19047
0,1,e,19079,19188
0,1,space,19266,19328
0,1,l,19999,20108
0,1,a,20561,20701
0,1,m,20623,20717
0,1,b,21247,21325
0,1,comma,22885,22932
0,1,enter,23634,23712
0,1,shift,24117,24788
0,1,h,24648,24741
0,1,i,26255,26379
0,1,s,26348,26473
0,1,space,26535,26598
0,1,f,26988,27097
0,1,l,27081,27191
0,1,e,27378,27471
0,1,e,27534,27627
0,1,c,28158,28283
0,1,e,28673,28813
0,1,space,29546,29609
0,1,w,29858,29952
0,1,a,30357,30451
0,1,s,30560,30669
0,1,space,30935,31059
0,1,w,31605,31715
0,1,h,31668,31730
0,1,i,31871,32011
0,1,t,32151,32229
0,1,e,32339,32448
0,1,space,32729,32885
0,1,a,33509,33602
0,1,s,33711,33821
0,1,space,33961,34039
0,1,s,34523,34663
0,1,n,34601,34663
0,1,o,34772,34881
0,1,w,35084,35209
0,1,comma,37580,37627
0,1,enter,38360,38407
0,1,a,39125,39234
0,1,n,39172,39250
0,1,d,39328,39406
0,1,space,39530,39608
0,1,e,39967,40108
0,1,v,40388,40498
0,1,e,40591,40700
0,1,r,40700,40778
0,1,y,41028,41122
0,1,space,41324,41402
0,1,w,41761,41870
0,1,h,41824,41902
0,1,e,42292,42416
0,1,r,42401,42494
0,1,e,42494,42619
0,1,space,44460,44632
0,2,shift,0,312
0,2,h,203,250
0,2,u,531,609
0,2,m,936,999
0,2,p,3229,3339
0,2,t,3697,3775
0,2,y,3775,3869
0,2,space,4072,4181
0,2,shift,4321,4680
0,2,d,4587,4649
0,2,u,4961,5039
0,2,m,5382,5460
0,2,p,5803,5881
0,2,t,6973,7051
0,2,y,7036,7129
0,2,space,8143,8299
0,2,s,8580,8721
0,2,a,8814,8970
0,2,t,9017,9111
0,2,space,9282,9345
0,2,o,9501,9563
0,2,n,9703,9797
0,2,space,9891,10031
0,2,a,10062,10249
0,2,space,10281,10421
0,2,w,10671,10811
0,2,a,11170,11310
0,2,l,11263,11295
0,2,l,11404,11451
0,2,comma,12558,12636
0,2,enter,13541,13603
0,2,shift,14040,14399
0,2,h,14321,14399
0,2,u,14602,14680
0,2,m,15304,15413
0,2,p,15694,15772
0,2,t,16536,16614
0,2,y,16599,16677
0,2,space,18673,18783
0,2,shift,18939,19890
0,2,d,19734,19812
0,2,u,20093,20171
0,2,m,20514,20592
0,2,p,21029,21138
0,2,t,21700,21793
0,2,y,21793,21856
0,2,space,23229,23385
0,2,h,23634,23712
0,2,a,23712,23853
0,2,d,24243,24336
0,2,space,24461,24601
0,2,a,24633,24789
0,2,space,24929,25070
0,2,g,26006,26099
0,2,r,26240,26333
0,2,e,26926,27020
0,2,a,27098,27269
0,2,t,27254,27332
0,2,space,27566,27722
0,2,f,27878,28002
0,2,a,28112,28252
0,2,l,28174,28252
0,2,l,28330,28408
0,2,period,29859,29984
0,2,enter,30670,30748
0,2,shift,31200,31544
0,2,a,31403,31481
0,2,l,31668,31731
0,2,l,31824,31918
0,2,space,32012,32183
0,2,t,32230,32292
0,2,h,32433,32511
0,2,e,32542,32651
0,2,space,32714,32760
0,2,k,34398,34523
0,2,i,35022,35132
0,2,n,35225,35319
0,2,g,35631,35724
0,2,quote,36239,36333
0,2,s,36333,36458
0,2,space,36629,36707
0,2,h,37612,37690
0,2,o,37784,37893
0,2,u,37893,37940
0,2,r,38423,38532
0,2,s,38704,38829
0,2,e,38891,39000
0,2,s,39437,39515
0,2,space,39968,40092
0,2,a,41559,41684
0,2,n,41621,41699
0,2,d,41730,41840
0,2,a,43041,43181
0,2,l,43150,43197
0,2,l,43290,43400
0,2,space,43556,43712
0,2,t,43914,43992
0,2,h,43992,44070
0,2,e,44070,44180
0,2,space,45833,45958
0,3,shift,0,499
0,3,t,405,468
0,3,w,1107,1232
0,3,i,1185,1263
0,3,n,1435,1513
0,3,k,2231,2293
0,3,l,3307,3401
0,3,e,3401,3510
0,3,comma,3947,4071
0,3,space,4165,4321
0,3,t,4477,4555
0,3,w,5304,5429
0,3,i,5382,5507
0,3,n,5709,5787
0,3,k,6255,6333
0,3,l,7098,7191
0,3,e,7191,7316
0,3,comma,8315,8408
0,3,space,8517,8611
0,3,l,8939,9063
0,3,i,9157,9266
0,3,t,9500,9547
0,3,t,9625,9719
0,3,l,9953,10046
0,3,e,10077,10202
0,3,space,10483,10624
0,3,s,11107,11263
0,3,t,11419,11513
0,3,a,11653,11794
0,3,r,11903,12028
0,3,comma,13931,13993
0,3,enter,15662,15725
0,3,shift,16442,16708
0,3,h,16583,16645
0,3,o,16895,16973
0,3,w,17285,17394
0,3,space,18876,19032
0,3,shift,19734,20186
0,3,i,19952,20030
0,3,space,20342,20514
0,3,w,20966,21091
0,3,o,21044,21091
0,3,n,21356,21450
0,3,d,21684,21793
0,3,e,21965,22074
0,3,r,22074,22136
0,3,space,22495,22573
0,3,w,23743,23852
0,3,h,23806,23868
0,3,a,24008,24164
0,3,t,24196,24274
0,3,space,24414,24570
0,3,y,24617,24726
0,3,o,24757,24882
0,3,u,24882,25022
0,3,space,25116,25272
0,3,a,25350,25553
0,3,r,25600,25709
0,3,e,25802,25927
0,3,period,27269,27347
0,3,enter,28174,28236
0,3,shift,28751,29078
0,3,u,29000,29047
0,3,p,29375,29468
0,3,space,30342,30482
0,3,a,30670,30872
0,3,b,31231,31294
0,3,o,31294,31356
0,3,v,31637,31699
0,3,e,31808,31886
0,3,space,33103,33275
0,3,t,33524,33634
0,3,h,33634,33743
0,3,e,33712,33836
0,3,space,33992,34164
0,3,w,34944,35069
0,3,o,35022,35069
0,3,r,35116,35225
0,3,l,36083,36176
0,3,d,36426,36504
0,3,space,37752,37908
0,3,s,38080,38189
0,3,o,38189,38236
0,3,space,38392,38516
0,3,h,38657,38750
0,3,i,38922,39031
0,3,g,39437,39515
0,3,h,39484,39546
0,3,comma,40154,40232
0,3,enter,41090,41153
0,3,shift,41574,42183
0,3,l,42105,42167
0,3,i,42651,42744
0,3,k,43212,43337
0,3,e,43275,43399
0,3,space,43477,43602
0,3,a,43649,43774
0,3,space,43852,44008
0,3,d,44601,44741
0,3,i,44663,44741
1,0,shift,0,459
1,0,t,371,456
1,0,w,872,976
1,0,i,1008,1128
1,0,n,1249,1376
1,0,l,1480,1568
1,0,backspace,1976,2024
1,0,k,2176,2304
1,0,l,2289,2376
1,0,e,2424,2536
1,0,comma,2872,3056
1,0,space,3011,3128
1,0,t,3200,3288
1,0,w,3848,3960
1,0,u,3999,4113
1,0,b,4112,4200
1,0,k,4576,4648
1,0,backspace,4895,4927
1,0,backspace,5176,5264
1,0,backspace,5344,5440
1,0,i,5856,5951
1,0,n,6400,6480
1,0,k,6632,6696
1,0,l,6720,6815
1,0,e,6880,6943
1,0,comma,7224,7360
1,0,space,7368,7464
1,0,l,7480,7567
1,0,i,7696,7783
1,0,t,7760,7807
1,0,t,7871,7983
1,0,l,8007,8088
1,0,e,8080,8168
1,0,space,8200,8304
1,0,s,8288,8392
1,0,t,8512,8616
1,0,a,8696,8799
1,0,r,8752,8879
1,0,comma,8871,8951
1,0,enter,9136,9192
1,0,shift,9799,10048
1,0,h,9888,9959
1,0,o,10120,10144
1,0,w,10216,10320
1,0,space,10344,10440
1,0,shift,10480,10600
1,0,i,10536,10656
1,0,space,10608,10728
1,0,w,10879,10999
1,0,o,10992,11031
1,0,n,11128,11232
1,0,d,11184,11296
1,0,e,11328,11464
1,0,r,11432,11552
1,0,space,11504,11608
1,0,w,11736,11871
1,0,h,11895,11975
1,0,a,11983,12079
1,0,t,12176,12288
1,0,space,12264,12368
1,0,y,12496,12600
1,0,o,12544,12743
1,0,u,12640,12767
1,0,space,12704,12791
1,0,a,12799,12943
1,0,r,12951,13064
1,0,e,13016,13152
1,0,period,13120,13200
1,0,enter,13352,13416
1,0,shift,13879,14407
1,0,u,14192,14232
1,0,p,14528,14605
1,0,space,14727,14831
1,0,a,14887,14991
1,0,b,14999,15055
1,0,o,15192,15248
1,0,v,15256,15352
1,0,e,15448,15528
1,0,space,15536,15608
1,0,t,15640,15736
1,0,h,15712,15784
1,0,e,15767,15879
1,0,space,15887,15959
1,0,w,16000,16111
1,0,o,16120,16176
1,0,r,16296,16416
1,0,l,16440,16512
1,0,d,16552,16640
1,0,space,16680,16767
1,0,s,16912,17015
1,0,o,17040,17176
1,0,space,17152,17240
1,0,h,17320,17392
1,0,i,17440,17528
1,0,g,17552,17664
1,0,backspace,17847,17887
1,0,g,18776,18863
1,0,h,18887,18959
