user,session,keyname,timepress,timerelease
0,0,shift,0,969
0,0,s,938,1016
0,0,p,1156,1235
0,0,space,1344,1453
0,0,backspace,1797,1875
0,0,backspace,1985,2063
0,0,o,3172,3250
0,0,space,3313,3391
0,0,shift,3469,3656
0,0,i,3547,3625
0,0,space,3656,3735
0,0,t,3875,3953
0,0,o,3969,4000
0,0,o,4110,4188
0,0,k,4328,4406
0,0,space,4485,4563
0,0,shift,4594,4719
0,0,t,4703,4797
0,0,h,4860,4938
0,0,o,4969,5047
0,0,m,5125,5219
0,0,a,5281,5360
0,0,s,5438,5516
0,0,space,5516,5594
0,0,w,5656,5750
0,0,i,5703,5781
0,0,t,5813,5891
0,0,h,5860,5938
0,0,space,5969,6047
0,0,m,6188,6250
0,0,e,6281,6360
0,0,space,6360,6438
0,0,t,6469,6547
0,0,o,6578,6656
0,0,space,6703,6735
0,0,t,6781,6813
0,0,h,6844,6922
0,0,e,6969,7047
0,0,space,7000,7078
0,0,d,7188,7266
0,0,o,7266,7344
0,0,c,7453,7500
0,0,t,7750,7797
0,0,o,7844,7922
0,0,r,8047,8125
0,0,period,8281,8360
0,0,space,8469,8547
0,0,a,8625,8766
0,0,backspace,9172,9219
0,0,shift,9328,9547
0,0,i,9469,9516
0,0,space,9594,9672
0,0,m,9735,9813
0,0,u,9922,10000
0,0,s,10000,10078
0,0,space,10156,10203
0,0,backspace,10500,10578
0,0,t,10641,10719
0,0,space,10719,10797
0,0,c,10906,10985
0,0,o,11031,11110
0,0,n,11250,11328
0,0,f,11516,11594
0,0,e,11735,11781
0,0,s,11922,12000
0,0,s,12078,12156
0,0,space,12188,12266
0,0,shift,12297,12469
0,0,i,12406,12469
0,0,space,12500,12578
0,0,s,12625,12703
0,0,t,12766,12844
0,0,a,12922,13078
0,0,r,13031,13125
0,0,t,13235,13313
0,0,e,13594,13672
0,0,d,13797,13875
0,0,space,13906,13953
0,0,u,14016,14094
0,0,s,14172,14250
0,0,i,14328,14406
0,0,n,14469,14531
0,0,g,14563,14641
0,0,space,14641,14719
0,0,a,14750,14891
0,0,space,14828,14891
0,0,b,14922,15000
0,0,l,15031,15110
0,0,o,15219,15266
0,0,o,15328,15453
0,0,d,15516,15594
0,0,space,15641,15750
0,0,p,15781,15860
0,0,r,15906,15985
0,0,e,16094,16125
0,0,s,16235,16313
0,0,s,16391,16469
0,0,u,16531,16610
0,0,r,16656,16688
0,0,e,16797,16844
0,0,space,16813,16922
0,0,m,17000,17063
0,0,a,17110,17188
0,0,c,17266,17344
0,0,h,17375,17453
0,0,i,17547,17625
0,0,n,17656,17735
0,0,g,17766,17844
0,0,space,17922,18000
0,0,backspace,18172,18250
0,0,backspace,18328,18438
0,0,e,18547,18594
0,0,space,18672,18750
0,0,a,18735,18860
0,0,space,18891,18969
0,0,backspace,19485,19563
0,0,t,19641,19719
0,0,space,19750,19828
0,0,h,19985,20063
0,0,o,20125,20203
0,0,m,20281,20360
0,0,e,20422,20500
0,0,period,20578,20672
0,0,space,20703,20781
0,0,shift,20781,20938
0,0,i,20938,20969
0,0,t,21125,21156
0,0,space,21203,21281
0,0,w,21985,22016
0,0,a,22172,22250
0,0,s,22313,22360
0,0,space,22438,22485
0,0,l,22563,22641
0,0,a,22641,22750
0,0,t,22797,22844
0,0,e,22953,23031
0,0,space,23110,23250
0,0,i,23297,23328
0,0,n,23375,23516
0,0,space,23485,23594
0,0,t,23563,23641
0,0,h,23672,23750
0,0,e,23781,23860
0,0,m,24016,24094
0,0,o,24172,24250
0,0,r,24281,24360
0,0,backspace,24656,24703
0,0,backspace,24813,24860
0,0,backspace,24969,25047
0,0,backspace,25125,25203
0,0,e,25766,25844
0,0,space,25844,25922
0,0,m,25985,26063
0,0,o,26141,26219
0,0,n,26297,26375
0,0,backspace,26656,26735
0,0,r,26891,26969
0,0,n,27031,27110
0,0,i,27219,27266
0,0,n,27344,27422
0,0,g,27453,27531
0,0,comma,27672,27750
0,0,space,27828,27906
0,0,shift,27938,28141
0,0,i,28047,28125
0,0,space,28172,28250
0,0,h,28281,28360
0,0,a,28391,28469
0,0,d,28547,28625
0,0,space,28656,28735
0,0,j,29031,29110
0,0,u,29219,29297
0,0,s,29328,29406
0,0,t,29485,29563
0,0,space,29516,29641
0,0,w,29750,29828
0,0,r,29938,30016
0,0,backspace,30266,30344
0,0,backspace,30422,30500
0,0,r,30531,30641
0,0,u,30688,30719
0,0,n,30828,30906
0,0,space,31047,31110
0,0,a,31156,31266
0,0,n,31266,31313
0,0,d,31360,31406
0,0,space,31438,31516
0,0,shift,31516,31625
0,0,i,31625,31672
0,0,space,31735,31813
0,0,c,31813,31891
0,0,o,31922,32016
0,0,u,32016,32094
0,0,l,32172,32250
0,0,d,32313,32360
0,0,n,32391,32469
0,0,quote,32547,32641
0,0,t,32672,32719
0,0,space,32750,32875
0,0,g,32985,33016
0,0,e,33125,33172
0,0,t,33235,33313
0,0,space,33328,33438
0,0,i,33485,33563
0,0,t,33563,33641
0,0,space,33672,33719
0,0,t,33828,33875
0,0,o,33875,33953
0,0,space,33985,34063
0,0,w,34141,34219
0,0,o,34250,34328
0,0,r,34360,34438
0,0,k,34485,34563
0,0,period,34969,35047
0,0,space,35188,35235
0,0,shift,35406,35672
0,0,t,35594,35719
0,0,backspace,36016,36094
0,0,shift,36641,36797
0,0,t,36750,36844
0,0,h,36875,36953
0,0,r,37063,37172
0,0,e,37281,37360
0,0,s,37469,37547
0,0,backspace,38031,38156
0,0,e,38141,38219
0,0,space,38328,38406
0,0,t,38563,38672
0,0,i,38969,39000
0,0,m,39156,39235
0,0,e,39297,39375
0,0,s,39485,39563
0,0,space,39578,39641
0,0,shift,39688,39797
0,0,i,39750,39844
0,0,space,39875,39985
0,0,r,39985,40063
0,0,backspace,40453,40531
0,0,t,40563,40641
0,0,r,40750,40828
0,0,i,40938,41016
0,0,e,41125,41203
0,0,d,41469,41547
0,0,space,41625,41735
0,0,a,41766,41844
0,0,n,41875,41938
0,0,d,41922,42000
0,0,space,42000,42078
0,0,n,42235,42313
0,0,o,42375,42453
0,0,space,42531,42610
0,0,l,42672,42719
0,0,u,42828,42906
0,0,c,42938,42985
0,0,k,43094,43172
0,0,period,43766,43844
0,0,space,43985,44110
0,0,shift,44172,44297
0,0,s,44281,44360
0,0,o,44469,44547
0,0,space,44625,44703
0,0,shift,44813,45078
0,0,i,45031,45110
0,0,space,45219,45297
0,0,t,45563,45610
0,0,r,45719,45797
0,0,i,45828,45906
0,0,e,45953,46031
0,0,d,46141,46219
0,0,space,46250,46328
0,0,m,46438,46485
0,0,y,46625,46703
0,0,space,46735,46813
0,0,r,46922,47000
0,0,i,47016,47047
0,0,g,47188,47235
0,0,h,47719,47797
0,0,t,47860,47906
0,0,space,47906,48016
0,0,a,48313,48422
0,0,r,48500,48578
0,0,space,48610,48735
0,0,backspace,49016,49094
0,0,m,49250,49328
0,0,space,49406,49485
0,0,a,49485,49641
0,0,n,49641,49672
0,0,d,49750,49828
0,0,space,49828,49906
0,0,g,50063,50141
0,0,o,50406,50438
0,0,t,50547,50594
0,0,space,50641,50672
0,0,space,50828,50906
0,0,backspace,51313,51391
0,0,a,51500,51610
0,0,space,51610,51688
0,0,r,51828,51875
0,0,e,52016,52063
0,0,a,52172,52281
0,0,d,52328,52406
0,0,i,52547,52625
0,0,n,52703,52781
0,0,g,52813,52891
0,0,period,53031,53110
0,0,space,53188,53266
0,0,shift,53328,54156
0,0,s,54110,54156
0,0,o,54313,54391
0,0,space,54500,54578
0,0,shift,54672,54828
0,0,i,54750,54828
0,0,space,54875,54953
0,0,t,55000,55078
0,0,r,55188,55219
0,0,a,55328,55453
0,0,y,55453,55531
0,0,space,55594,55719
0,0,backspace,56078,56156
0,0,backspace,56235,56313
0,0,backspace,56375,56453
0,0,y,56641,56719
0,0,space,56797,56906
0,0,a,56938,57094
0,0,g,57125,57250
0,0,a,57547,57688
0,0,i,58250,58328
0,0,n,58469,58547
0,0,space,58641,58719
0,0,a,58797,58922
0,0,n,58875,58953
0,0,d,58985,59063
0,0,space,59078,59141
0,0,s,59219,59375
0,0,u,59328,59406
0,0,r,59438,59563
0,0,e,59625,59750
0,0,space,59703,59813
0,0,e,59985,60078
0,0,n,60250,60328
0,0,o,60406,60516
0,0,u,60485,60594
0,0,g,60703,60781
0,0,h,60781,60860
0,0,space,60891,61016
0,0,i,61203,61235
0,0,t,62531,62610
0,0,space,62719,62797
0,0,d,62906,62985
0,0,o,63172,63203
0,0,e,63281,63328
0,0,s,63438,63547
0,0,n,63594,63672
0,0,t,63860,63891
0,0,quote,63906,63969
0,0,backspace,64938,65016
0,0,backspace,65156,65281
0,0,quote,65500,65578
0,0,t,65719,65797
0,0,space,65828,65906
0,0,w,66016,66094
0,0,o,66141,66219
0,0,r,66250,66328
0,0,k,66360,66406
0,0,period,66625,66703
0,0,space,66766,66844
0,0,shift,66860,67078
0,0,m,67000,67031
0,0,y,67188,67266
0,0,space,67266,67344
0,0,w,67938,68047
0,0,i,68156,68203
0,0,f,68360,68391
0,0,e,68500,68578
0,0,space,68594,68656
0,0,c,68735,68813
0,0,o,68766,68860
0,0,m,68891,69000
0,0,e,69031,69110
0,0,s,69219,69297
0,0,space,69344,69422
0,0,d,69485,69563
0,0,o,69563,69641
0,0,w,69719,69797
0,0,n,69828,69875
0,0,a,69938,70063
0,0,space,69953,69985
0,0,n,70141,70219
0,0,backspace,70547,70578
0,0,backspace,70688,70735
0,0,backspace,70844,70922
0,0,space,71000,71078
0,0,a,71110,71219
0,0,n,71219,71266
0,0,d,71313,71391
0,0,space,71391,71469
0,0,s,71531,71656
0,0,a,71797,71906
0,0,y,71906,71985
0,0,s,72094,72172
0,0,space,72203,72281
0,0,l,72438,72516
0,0,e,73172,73250
0,0,t,73360,73422
0,0,space,73422,73485
0,0,m,73594,73641
0,0,e,73672,73750
0,0,space,73766,73828
0,0,k,73938,74016
0,0,backspace,74344,74422
0,0,h,74610,74688
0,0,e,74797,74875
0,0,l,74906,74985
0,0,p,75172,75250
0,0,period,75469,75547
0,0,space,75625,75703
0,0,shift,75735,76375
0,0,s,76328,76406
0,0,e,76781,76813
0,0,h,76922,76969
0,0,backspace,77188,77266
0,0,backspace,77422,77531
0,0,h,77719,77750
0,0,e,77828,77875
0,0,space,77906,77985
0,0,w,78047,78094
0,0,a,78235,78313
0,0,s,78360,78438
0,0,space,78469,78531
0,0,a,78563,78641
0,0,b,78750,78828
0,0,l,78828,78906
0,0,e,78938,79016
0,0,space,79063,79141
0,0,t,79203,79250
0,0,o,79328,79391
0,0,space,79422,79500
0,0,g,79688,79719
0,0,e,79844,79922
0,0,t,80000,80078
0,0,space,80078,80188
0,0,i,80375,80422
0,0,t,80453,80531
0,0,space,80578,80656
0,0,t,80688,80735
0,0,o,80735,80797
0,0,space,80844,80922
0,0,w,81031,81110
0,0,o,81110,81203
0,0,r,81266,81344
0,0,k,81375,81453
0,0,comma,84203,84281
0,0,space,84313,84391
0,0,b,84438,84516
0,0,u,84547,84594
0,0,t,84625,84703
0,0,space,84703,84735
0,0,b,84953,85031
0,0,y,85078,85156
0,0,space,85266,85328
0,0,backspace,85547,85625
0,0,backspace,85719,85797
0,0,backspace,85860,85985
0,0,y,86938,87016
0,0,space,87125,87203
0,0,t,87281,87360
0,0,h,87360,87391
0,0,a,87469,87578
0,0,t,87547,87656
0,0,space,87625,87703
0,0,t,87844,87922
0,0,i,87891,87969
0,0,m,88031,88110
0,0,e,88156,88188
0,0,space,88188,88266
0,0,shift,88375,88531
0,0,i,88485,88516
0,0,space,88563,88656
0,0,w,88688,88766
0,0,a,88875,88922
0,0,s,88953,89031
0,0,space,89078,89156
0,0,s,89188,89266
0,0,o,89297,89375
0,0,space,89453,89531
0,0,f,89610,89688
0,0,r,90125,90235
0,0,u,90313,90360
0,0,s,90391,90500
0,0,t,90578,90656
0,0,r,90766,90844
0,0,a,90953,91063
0,0,t,91219,91266
0,0,e,91406,91485
0,0,d,91625,91703
0,0,comma,92188,92266
0,0,space,92297,92375
0,0,w,92422,92500
0,0,h,92500,92578
0,0,o,92688,92766
0,1,c,0,78
0,1,n,265,312
0,1,backspace,703,750
0,1,a,828,922
0,1,n,953,1000
0,1,space,1125,1172
0,1,b,1328,1390
0,1,u,1422,1469
0,1,t,1562,1640
0,1,space,1625,1703
0,1,t,1765,1844
0,1,h,1844,1906
0,1,e,1937,2015
0,1,space,2031,2094
0,1,b,2265,2344
0,1,o,2375,2453
0,1,y,2578,2656
0,1,s,2890,2937
0,1,period,3515,3562
0,1,space,48547,48672
0,1,backspace,51203,51312
0,1,space,52422,52531
0,1,backspace,57781,57859
0,1,backspace,57984,58094
0,1,space,58625,58750
0,1,s,58844,58922
0,1,e,59031,59078
0,1,e,59187,59281
0,1,m,59375,59453
0,1,space,59562,59656
0,1,t,59703,59781
0,1,o,59781,59859
0,1,space,59890,59984
0,1,r,60047,60125
0,1,e,60219,60250
0,1,a,60344,60437
0,1,l,60469,60500
0,1,l,60625,60703
0,1,y,60812,60890
0,1,space,60984,61047
0,1,a,61234,61375
0,1,p,61375,61453
0,1,p,61547,61625
0,1,r,61640,61734
0,1,e,62297,62359
0,1,c,62562,62625
0,1,i,62687,62750
0,1,a,62765,62828
0,1,t,62906,62953
0,1,e,63031,63094
0,1,space,63140,63203
0,1,i,63297,63359
0,1,t,63375,63437
0,1,period,63625,63687
