user,session,timepress,timerelease,keycode,keyname
0,0,0,78,105,numpad_9
0,0,453,516,97,numpad_1
0,0,828,937,100,numpad_4
0,0,1234,1312,97,numpad_1
0,0,1656,1719,105,numpad_9
0,0,1984,2078,99,numpad_3
0,0,2391,2469,103,numpad_7
0,0,2734,2812,103,numpad_7
0,0,3125,3187,102,numpad_6
0,0,3516,3594,97,numpad_1
0,0,3922,4016,13,enter
0,1,0,94,105,numpad_9
0,1,516,609,97,numpad_1
0,1,937,1016,100,numpad_4
0,1,1312,1391,97,numpad_1
0,1,1719,1812,105,numpad_9
0,1,2062,2141,99,numpad_3
0,1,2469,2547,103,numpad_7
0,1,2828,2891,103,numpad_7
0,1,3203,3266,102,numpad_6
0,1,3594,3656,97,numpad_1
0,1,4016,4109,13,enter
0,2,0,94,105,numpad_9
0,2,469,562,97,numpad_1
0,2,859,984,100,numpad_4
0,2,1265,1344,97,numpad_1
0,2,1687,1765,105,numpad_9
0,2,2047,2125,99,numpad_3
0,2,2469,2562,103,numpad_7
0,2,2844,2922,103,numpad_7
0,2,3265,3344,102,numpad_6
0,2,3703,3765,97,numpad_1
0,2,4156,4250,13,enter
0,3,0,78,105,numpad_9
0,3,453,563,97,numpad_1
0,3,922,1047,100,numpad_4
0,3,1360,1485,97,numpad_1
0,3,1891,2016,105,numpad_9
0,3,2407,2532,99,numpad_3
0,3,2953,3047,103,numpad_7
0,3,3360,3453,103,numpad_7
0,3,3797,3860,102,numpad_6
0,3,4282,4344,97,numpad_1
0,3,4766,4875,13,enter
0,4,0,109,105,numpad_9
0,4,469,578,97,numpad_1
0,4,844,953,100,numpad_4
0,4,1219,1312,97,numpad_1
0,4,1578,1703,105,numpad_9
0,4,1906,2000,99,numpad_3
0,4,2297,2390,103,numpad_7
0,4,2656,2719,103,numpad_7
0,4,3000,3078,102,numpad_6
0,4,3390,3453,97,numpad_1
0,4,3797,3859,13,enter
0,5,0,93,105,numpad_9
0,5,468,562,97,numpad_1
0,5,843,953,100,numpad_4
0,5,1187,1297,97,numpad_1
0,5,1593,1687,105,numpad_9
0,5,1953,2062,99,numpad_3
0,5,2437,2500,103,numpad_7
0,5,2781,2843,103,numpad_7
0,5,3125,3187,102,numpad_6
0,5,3515,3578,97,numpad_1
0,5,3953,4015,13,enter
0,6,0,110,105,numpad_9
0,6,485,579,97,numpad_1
0,6,844,954,100,numpad_4
0,6,1219,1329,97,numpad_1
0,6,1625,1704,105,numpad_9
0,6,1969,2047,99,numpad_3
0,6,2407,2469,103,numpad_7
0,6,2750,2813,103,numpad_7
0,6,3110,3172,102,numpad_6
0,6,3485,3547,97,numpad_1
0,6,3907,3969,13,enter
0,7,0,110,105,numpad_9
0,7,469,594,97,numpad_1
0,7,844,969,100,numpad_4
0,7,1219,1329,97,numpad_1
0,7,1641,1735,105,numpad_9
0,7,1985,2079,99,numpad_3
0,7,2438,2532,103,numpad_7
0,7,2797,2891,103,numpad_7
0,7,3172,3250,102,numpad_6
0,7,3594,3657,97,numpad_1
0,7,4032,4110,13,enter
0,8,0,78,105,numpad_9
0,8,421,515,97,numpad_1
0,8,812,906,100,numpad_4
0,8,1171,1250,97,numpad_1
0,8,1562,1656,105,numpad_9
0,8,1906,2000,99,numpad_3
0,8,2328,2406,103,numpad_7
0,8,2687,2750,103,numpad_7
0,8,3046,3109,102,numpad_6
0,8,3437,3515,97,numpad_1
0,8,3875,3953,13,enter
0,9,0,78,105,numpad_9
0,9,438,531,97,numpad_1
0,9,828,938,100,numpad_4
0,9,1203,1313,97,numpad_1
0,9,1641,1735,105,numpad_9
0,9,2000,2094,99,numpad_3
0,9,2406,2500,103,numpad_7
0,9,2781,2860,103,numpad_7
0,9,3156,3235,102,numpad_6
0,9,3563,3656,97,numpad_1
0,9,4016,4110,13,enter
0,10,0,62,105,numpad_9
0,10,484,562,97,numpad_1
0,10,859,968,100,numpad_4
0,10,1281,1359,97,numpad_1
0,10,1687,1765,105,numpad_9
0,10,2047,2125,99,numpad_3
0,10,2468,2531,103,numpad_7
0,10,2797,2859,103,numpad_7
0,10,3172,3234,102,numpad_6
0,10,3578,3640,97,numpad_1
0,10,4000,4078,13,enter
0,11,0,93,105,numpad_9
0,11,484,578,97,numpad_1
0,11,875,968,100,numpad_4
0,11,1328,1406,97,numpad_1
0,11,1734,1828,105,numpad_9
0,11,2109,2203,99,numpad_3
0,11,2578,2656,103,numpad_7
0,11,2921,3000,103,numpad_7
0,11,3312,3406,102,numpad_6
0,11,3765,3828,97,numpad_1
0,11,4218,4312,13,enter
0,12,0,94,105,numpad_9
0,12,484,578,97,numpad_1
0,12,891,1000,100,numpad_4
0,12,1297,1422,97,numpad_1
0,12,1797,1922,105,numpad_9
0,12,2219,2328,99,numpad_3
0,12,2672,2766,103,numpad_7
0,12,3031,3109,103,numpad_7
0,12,3406,3500,102,numpad_6
0,12,3828,3906,97,numpad_1
0,12,4250,4375,13,enter
0,13,0,109,105,numpad_9
0,13,500,594,97,numpad_1
0,13,891,1000,100,numpad_4
0,13,1266,1359,97,numpad_1
0,13,1672,1766,105,numpad_9
0,13,2016,2109,99,numpad_3
0,13,2453,2547,103,numpad_7
0,13,2797,2875,103,numpad_7
0,13,3172,3250,102,numpad_6
0,13,3563,3656,97,numpad_1
0,13,3984,4078,13,enter
